Country,State,Year,Month,"Central Goods And Services Tax (Cgst) Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","State Goods And Services Tax (Sgst)Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Integrated Goods And Services Tax (Igst)Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Cess Tax Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Revenue Collection (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,Jharkhand,"Financial Year (Apr - Mar), 2024","August, 2024",527.17,669.26,983.3,670.32,2850.0499999999997
India,Karnataka,"Financial Year (Apr - Mar), 2024","August, 2024",2797.93,3416.5,4675.69,1454.02,12344.14
India,Kerala,"Financial Year (Apr - Mar), 2024","August, 2024",892.9,1086.78,525.6,6.05,2511.33
India,Ladakh,"Financial Year (Apr - Mar), 2024","August, 2024",12.49,15.35,4.83,0.25,32.92
India,Lakshadweep,"Financial Year (Apr - Mar), 2024","August, 2024",0.4,0.75,0.76,0.0,1.91
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2024","August, 2024",862.49,1054.45,890.19,630.96,3438.09
India,Maharashtra,"Financial Year (Apr - Mar), 2024","August, 2024",7111.78,8304.66,8938.46,2011.74,26366.64
India,Manipur,"Financial Year (Apr - Mar), 2024","August, 2024",18.36,29.04,8.12,0.03,55.55
India,Meghalaya,"Financial Year (Apr - Mar), 2024","August, 2024",41.27,45.9,67.87,0.11,155.15000000000003
India,Mizoram,"Financial Year (Apr - Mar), 2024","August, 2024",10.12,13.57,3.75,0.22,27.659999999999997
India,Nagaland,"Financial Year (Apr - Mar), 2024","August, 2024",14.76,19.02,7.48,1.04,42.300000000000004
India,Odisha,"Financial Year (Apr - Mar), 2024","August, 2024",1181.13,1378.12,1515.41,803.7,4878.36
India,Puducherry,"Financial Year (Apr - Mar), 2024","August, 2024",28.32,45.0,159.93,0.46,233.71
India,Punjab,"Financial Year (Apr - Mar), 2024","August, 2024",484.67,682.67,731.98,36.94,1936.26
India,Rajasthan,"Financial Year (Apr - Mar), 2024","August, 2024",990.13,1279.8,1429.13,121.31,3820.37
India,Sikkim,"Financial Year (Apr - Mar), 2024","August, 2024",14.2,18.46,292.98,0.11,325.75
India,Tamil Nadu,"Financial Year (Apr - Mar), 2024","August, 2024",2719.72,3728.47,3030.31,702.25,10180.75
India,Telangana,"Financial Year (Apr - Mar), 2024","August, 2024",1238.62,1544.62,1365.9,419.45,4568.589999999999
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2024","August, 2024",40.2300000000000000000000,53.2800000000000000000000,226.6600000000000000000000,0.1400000000000000000000,320.3100000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2024","August, 2024",33.37,41.3,10.48,0.02,85.16999999999999
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2024","August, 2024",1969.36,2571.77,2424.51,1303.83,8269.470000000001
India,Uttarakhand,"Financial Year (Apr - Mar), 2024","August, 2024",291.65,432.22,617.77,9.09,1350.7299999999998
India,West Bengal,"Financial Year (Apr - Mar), 2024","August, 2024",1503.35,1846.55,1323.32,404.05,5077.2699999999995
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2024","July, 2024",15.83,18.79,4.5,0.12,39.239999999999995
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2024","July, 2024",839.82,1074.17,1195.83,236.32,3346.1400000000003
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2024","July, 2024",31.58,36.97,12.16,0.06,80.77
India,Assam,"Financial Year (Apr - Mar), 2024","July, 2024",379.03,463.24,371.76,155.83,1369.86
India,Bihar,"Financial Year (Apr - Mar), 2024","July, 2024",430.73,739.27,213.12,185.49,1568.61
India,Chandigarh,"Financial Year (Apr - Mar), 2024","July, 2024",45.25,62.84,124.37,0.91,233.37
India,Chhattisgarh,"Financial Year (Apr - Mar), 2024","July, 2024",608.76,722.25,1302.66,685.32,3318.9900000000002
India,Delhi,"Financial Year (Apr - Mar), 2024","July, 2024",1106.88,1285.16,3457.07,114.87,5963.9800000000005
India,Goa,"Financial Year (Apr - Mar), 2024","July, 2024",167.16,207.32,215.75,2.82,593.0500000000001
India,Gujarat,"Financial Year (Apr - Mar), 2024","July, 2024",3064.14,3736.15,3508.88,705.55,11014.72
India,Haryana,"Financial Year (Apr - Mar), 2024","July, 2024",1363.99,1819.54,5286.48,611.71,9081.719999999998
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2024","July, 2024",173.13,240.16,438.3,2.9,854.4899999999999
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2024","July, 2024",186.25,257.4,168.94,16.89,629.4799999999999
India,Jharkhand,"Financial Year (Apr - Mar), 2024","July, 2024",558.55,740.79,1166.38,669.18,3134.9
